,url,title,article,date,publisher,trust,avg_score
11464,https://speld.nl/2010/06/16/twee-higgsdeeltjes-ontdekt/,Twee Higgsdeeltjes ontdekt,"Bij botsingen van protonen in de Large Hadron Collider (LHC) van het Zwitserse CERN zijn dinsdag rond half drie ‘s middags twee Higgsdeeltjes ontdekt.[5]
De wetenschappelijke teams van de grootste deeltjesversneller ter wereld, die ieder afzonderlijk één deeltje ontdekten, ruziën nu over wie er het eerst was.[5]
 “Volgens onze berekeningen was onze botsing van deeltjes 3,141*10-27 seconde eerder.[0] 
Het lijkt me duidelijk dat wij hebben gewonnen”, zegt teamleider en hoogleraar Experimentele fysica Marcus Beck van het Max Planck Instituut.[5] 
De claim van Beck wordt door de andere teamleider en hoogleraar Theoretische natuurkunde Pierre Montvin naar de prullenbak verwezen met een beroep op Heisenbergs onzekerheidsprincipe.[5] 
“Het is onmogelijk om aan te tonen op welk moment en waar de botsing precies plaatsvond.[0]
‘Eerder’ bestaat niet in de kwantumwereld.[0]
Wij waren echter sneller in de berekeningen en brachten de ontdekking van het deeltje een halve minuut eerder naar buiten.[5] 
Daarom zijn wij de eersten die het Higgsdeeltje aantoonden.”[5]
“Het is jammer dat de teams nu vechtend over straat gaan”, zegt Robbert Dijkgraaf, columnist, natuurkundige en president van de Koninklijke Nederlandse Academie van Wetenschappen (KNAW).[5]",16-6-2010,speld,untrusted,5
7192,www.trouw.nl/cultuur/deze-geinige-pokemon-zit-verstopt-in-een-obligaat-detectiveverhaaltje~a5923dee/,Deze geinige 'Pokémon' zit verstopt in een obligaat detectiveverhaaltje,"Misschien eerst even bijpraten: Pokémon zijn fictieve wezens die werden bedacht in Japan en drieëntwintig jaar geleden voor het eerst verschenen in een computerspel.[1] 
Vanwege hun enorme populariteit kregen ze hun eigen boeken, knuffels, strips en tekenfilms.[1]
En behalve in een kaartspel en een tv-serie figureerden ze in een belachelijk populaire app ('Pokémon Go').[1]
Of er nog iets toe te voegen viel aan de miljardenindustrie rond de geliefde pocketmonsters?[0] 
Jawel, de Amerikaans-Japanse coproductie 'Pokémon Detective Pikachu' is de eerste Pokémon-film die computeranimatie combineert met 'live action', met optredens van echte acteurs.[1] 
En dat is op het eerste gezicht best kunstig gedaan.[0]
Centrale locatie is Ryme City, een kleurrijke, neonverlichte metropool waar Pokémon en mensen harmonieus samenleven.[1] 
De 21-jarige Tim, gespeeld door de frisgewassen ogende Afro-Amerikaanse Justice Smith, arriveert hier na de mysterieuze verdwijning van zijn vader die als rechercheur iets op het spoor was.[1]
Tim ontmoet zijn vaders compagnon Detective Pikachu, niet toevallig de populairste Pokémon.[1] 
Het is een soort gele hamster met grote oren, rode wangen en Bambi-bruine ogen. [0]",2019-05-09,trouw,trusted,1
2164,https://nu.nl/artikel/6120836,"Zo gaat het vaccineren: 1,2 miljoen Nederlanders hebben eerste prik gehad","Nederland prikt - in vergelijking met de rest van Europa - steeds sneller.[1] 
Zo staat de vaccinatiecampagne in Nederland ervoor.[0]
Meer dan 1,2 miljoen mensen hebben inmiddels een eerste dosis van het coronavaccin gehad.[1]
Bijna 412.000 personen hebben ook een tweede dosis gekregen.[1] 
In totaal zijn er 1,6 miljoen prikken gezet.[1] 
Op dit moment worden onder anderen 80-plussers, medewerkers in de verpleeghuiszorg en 60- tot en met 64-jarigen gevaccineerd.[1] 
Alle EU-lidstaten krijgen ongeveer evenveel vaccins per duizend inwoners binnen.[1] 
Toch gaat het vaccineren niet overal even snel.[1] 
Nederland heeft tot nu toe ongeveer 2,5 miljoen vaccins ontvangen.[1] 
60 procent hiervan zit dus al in een arm.[2] ",9-3-2021,nu,trusted,1.22
2277,https://nu.nl/artikel/6120613,Autorijden op waterstof: de drempel wordt verlaagd,"Toyota verlaagt de drempel voor het rijden op waterstof.[0] 
Zo krijg je bij aanschaf van de Mirai-waterstofauto een tankservice en kan je er nu zelfs je eigen tankstation bij leasen.[1] 
Bovendien is de nieuwe generatie van de Toyota Mirai veel goedkoper geprijsd dan de vorige.[1]
Terwijl de meeste automerken waterstof voorlopig (nog) niet zien zitten, blijft Toyota dapper doorontwikkelen.[0] 
De tweede generatie van de Mirai, waarvan de verkoop deze maand start, is veel strakker gelijnd en hij is lager, breder en langer gemaakt.[1] 
In de lengte scheelt het zelfs 8,5 centimeter, om uit te komen op een indrukwekkende 4,97 meter.[1] 
Samen met de lange neus, diep ingesneden wielkasten en een sterk aflopende daklijn levert dat een behoorlijk imposante, dynamische uitstraling op.[0] 
De Mirai is ook onderhuids en in het interieur rigoureus op de schop gegaan.[1] 
Het wat rommelige en drukke dashboard van het origineel is vervangen door een veel strakker, modern ogend geheel.[0] 
Het dashboard is grotendeels bekleed met hetzelfde materiaal als de stoelen en bovenop voorzien van een grote, dubbele schermcombinatie.[1]",8-3-2021,nu,trusted,1
15100,https://niburu.co/12973,Wil je nog meer bewijs dat vaccinaties mazelen veroorzaken?,"Het is doodstil in de mainstream media over de recente uitbraak van mazelen in Oekraïne waar men is begonnen met een “vaccinatie inhaalslag”.[4] 
In juli 2017 is men begonnen met het “herstellen” van de lage vaccinatiegraad tegen mazelen en onmiddellijk daarna begint het aantal gevallen van mazelen explosief te stijgen.[0] 
Dit is het bericht dat nergens in de mainstream media verschijnt:De afgelopen jaren was er een tekort aan mazelen-vaccins in Oekraïne.[2] 
De vaccinatiegraad was met 31% in 2016 de laagste van heel Europa, en toch was er geen sprake van een noemenswaardig aantal mazelen-gevallen.[4]
In 2017 kwamen er voldoende vaccins beschikbaar voor een ‘inhaalcampagne’ en 90% van de kinderen in Oekraïne kregen de BMR.[3] 
En sindsdien is er een explosie van mazelen-gevallen.[5] 
Door de ellendige periode die de bevolking in Oekraïne heeft meegemaakt dankzij de Amerikaanse staatsgreep hebben we wel een prachtige vergelijking gekregen over hoe het eraan toe gaat met de mazelen, met en zonder vaccinaties.[0] 
In 2008 toen de situatie nog rustig was in Oekraïne ontving 95 procent van de kinderen een vaccinatie tegen mazelen.[1] 
Door omstandigheden was dit percentage in 2016 gedaald tot 31 procent.[1] 
Wanneer je dan de theorie van de vaccinatiemafia volgt, zou er dus als gevolg van het niet of nauwelijks vaccineren een enorme toename geweest moeten zijn van het aantal kinderen dat mazelen kreeg.[0]",17-5-2018,niburu,untrusted,2.86
23128,https://www.transitieweb.nl/chemtrails/als-er-sluierbewolking-wordt-voorspeld-dikke-kans-dat-er-met-chemtrails-gesproeid-gaat-worden/,Als er sluierbewolking wordt voorspeld: dikke kans dat er met chemtrails gesproeid gaat worden,"Vrijdag 15 februari kondigt de weerman sluierbewolking aan voor de volgende dag.[1]
Zijn voorspelling komt uit.[1] 
Op zaterdag 16 februari brengen spookvliegtuigen een raster van chemtrails aan, dat langzaam uitdijt tot een kunstmatig wolkendek.[5] 
Zo zie je hoe het chemtrailsprogramma volledig is geïntegreerd in de weersvoorspellingen.[5] 
Hieronder drie korte video’s van het luchtruim boven Delft op 16 februari.[0]
Uit de laatste video blijkt duidelijk dat het om sppovliegtuigen gaat: jets die niet op de flight radar worden weergegeven.[0] 
Waarschijnlijk militaire toestellen.[0] 
Onder deze video’s een selectie van opnames van 16 en 17 februari die op verschillende laatsen in het land van de kunstmatige sluierwolken werden gemaakt.[0]       
Boven Zuid-Nederland, 16 februari, ontstaan van een kunstmatig wolkendek   Amsterdam, 17 februari Commentaar van de maker:
“En voor het geval iemand nog zou kunnen denken dat dit natuurlijke sluierbewolking is; ik heb het vliegtuigje gezien dat deze grote strepen maakte, dikke, uitwaaierende strepen die lang in de lucht bleven en sluiers werden die tussen het zonlicht en de blauwe lucht in bleven hangen.[0] 
Zelfs als deze sluiers niet chemisch waren van samenstelling, word ik boos over deze visuele vervuiling die mij beletten om op een zondagochtend te kunnen genieten van het zonlicht en de strak blauwe lucht.”[0] ",17-2-2019,transweb,untrusted,3
5221,www.volkskrant.nl/nieuws-achtergrond/onder-druk-veroordeelt-trump-rechts-extremisten-alsnog-racisme-is-een-kwaad~b81dea43/,Onder druk veroordeelt Trump rechts-extremisten alsnog: 'Racisme is een kwaad',"De Amerikaanse president Donald Trump heeft maandag een draai van 180 graden gemaakt door alsnog de rechts-extremisten te veroordelen die dit weekeinde verantwoordelijk waren voor dodelijk geweld en chaos in de stad Charlottesville.[1] 
Trump stond onder druk, ook in zijn eigen partij, om zijn eerdere halfslachtige verklaring aan te scherpen.[1]
'Racisme is een kwaad.[0] 
Zij die in naam daarvan geweld veroorzaken, zijn criminelen en schurken, inclusief de Ku Klux Klan, neonazi's, blanke racisten en andere haatzaaiende groeperingen', zei de president maandag.[1] 
Hun gedrag is onverenigbaar zijn met de waarden 'waar wij Amerikanen aan hechten', aldus Trump, voor even weer in het Witte Huis, tijdens een onderbreking van zijn 'werkvakantie' op een golfclub bij New York. [1]
'We veroordelen deze flagrante uiting van haat, fanatisme en geweld.'[1] 
De president sprak bovendien zijn leedwezen uit over de dood van de 32-jarige Heather Heyer.[1] 
Zij kwam om het leven toen een man met een auto op een groep demonstranten in Charlottesville inreed.[1] 
Enkele tientallen anderen raakten gewond.[1] 
De betogers hadden het aan de stok gekregen met rechts-extremisten die zich keerden tegen het weghalen van een standbeeld van generaal Robert E. Lee, een symbool van slavernij en racisme.[1]",2017-08-14,vk,trusted,1
15321,https://niburu.co/14136,Overheid staat altijd klaar om als eerste te graaien,"Wat wij al sinds Prinsjesdag voorspelden begint iedere dag pijnlijk duidelijker te worden.[0]
De overheid staat vooraan in de rij om te graaien en is niet thuis als de bevolking begint te piepen omdat het leven steeds duurder en voor velen onbetaalbaar wordt.[0] 
Je moet je serieus afvragen waarom wij in 's hemelsnaam een overheid hebben.[0] 
Waarom moeten wij miljarden euro’s betalen voor een stel vertegenwoordigers van de bankiers die jaar na jaar de duimschroeven bij de bevolking verder aandraaien?[0] 
Die jaar na jaar meer vrijheden bij de burger wegnemen en die het liefst iedereen 24/7 willen observeren.[5] 
Zoals we eerder schreven: Wij mensen verkeren vaak nog steeds in de illusie dat wanneer we maar de juiste mensen kiezen, een overheid er écht voor ons zal zijn.[0] 
Zij beseffen niet dat een overheid “controlled opposition” is en ontworpen om gerund te worden door psychopaten die als primaire taak hebben de satanische (kinderslachtende) elite te beschermen.[5] 
De dag na Prinsjesdag vorig jaar schreven wij het volgende: Boodschap van de regering: Vrijwel iedereen zal volgend jaar merken dat het beter gaat met de economie.[1] 
Dat is de boodschap van Rutte III in de miljoenennota 2019.[2]
De koopkracht groeit (met gemiddeld 1,5 procent), de werkloosheid blijft dalen en er komen miljarden beschikbaar voor onder meer defensie, onderwijs en infrastructuur.[1] ",20-6-2019,niburu,untrusted,2.8
17858,https://www.ninefornews.nl/autobanden-zijn-grote-boosdoener-waarom-elektrische-autos-voor-meer-ellende-zorgen/,Autobanden zijn grote boosdoener. Waarom elektrische auto’s voor meer ellende zorgen,"Eén van de redenen waarom benzine- en dieselmotoren als vervuilend gezien worden, is dat ze fijnstof uitstoten.[1] 
Uit nieuw onderzoek van het Britse onderzoeksbureau Emission Analytics blijkt nu dat autobanden en remmen tot wel 1000 keer meer fijnstof veroorzaken dan motoren.[1]
Autobanden stoten onder meer microdeeltjes uit doordat er deeltjes verdampen door de hitte in de banden.[1] 
Het Britse onderzoeksbureau verwacht dat het probleem de komende jaren alleen maar groter zal worden vanwege de opkomst van de elektrische auto.[1] 
Elektrische auto’s zijn zwaarder en hoe zwaarder een auto, hoe meer bandenslijtage, stelt Emission Analytics.[1] 
Tijdens het onderzoek verloor een VW Golf uit 2011 0,58 gram rubber per kilometer.[5]
Uit de uitlaat mag niet meer dan 4,5 milligram per kilometer aan fijnstof komen.[1] 
De banden verloren dus tot 1000 keer meer rubber dan er aan deeltjes uit de uitlaat mag komen.[1] 
De reacties op het onderzoek zijn niet mals.[0] 
Zo twittert Klaas Wilting, oud-woordvoerder van de politie in Amsterdam: “Zonder goede onderzoeken heeft ons kabinet allerlei maatregelen genomen die het milieu niet verbeteren.[1]",2020-09-03,ninefornews,untrusted,1.44
22558,www.parool.nl/nieuws/win-een-pluche-versie-van-je-huisdier-in-de-pup-upstore~af36a232/,Win een pluche-versie van je huisdier in de Pup-upstore,"In de Pup-upstore kunnen baasjes deze week hun viervoeter in pluche winnen.[1] 
Myrna Huijing (46) van Studio Pets legt uit.[0]
Een knuffel van je huisdier; schattiger wordt het niet.[0] 
""Dat dacht ik dus ook. Als dierenliefhebber leek niets me leuker dan een pluchen versie van je huisdier.[0] 
We maken voor onze zakelijke partners oplages van duizend knuffels of meer.[0] 
Voor deze ene keer maakt onze fabrikant één exemplaar per dier.[0]
""Hoe kun je winnen? ""Je moet je via onze website opgeven.[0]
Dan kun je ergens deze week langskomen voor een gratis shoot in onze winkel in de Gerard Doustraat.[0]
Wij kiezen de leukste drie foto's waarvan een knuffel wordt gemaakt.[0] 
Bij deze shoot wint niet per se het mooiste, maar het grappigste dier.[0]",2018-11-13,parool,trusted,1
18400,https://www.ninefornews.nl/curve-al-3-maanden-plat-geef-mij-een-reden-waarom-vrijheidsbeperkende-maatregelen-nog-nodig-zijn-een/,"Curve al 3 maanden plat: ‘Geef mij één reden waarom vrijheidsbeperkende maatregelen nog nodig zijn, één!’","Nederlanders laten zich massaal testen op corona.[3] 
Een afspraak maken voor zo’n test is voor veel mensen nu niet meer mogelijk.[1]
“Er is nergens structureel plek,” zegt de koepelorganisatie van GGD’s over de ruim 100 testlocaties waar mensen zich met coronaklachten kunnen melden.[1] 
Volgens de GGD is het nog nooit eerder zo druk geweest.[1] 
Daarnaast waren de GGD-testlijnen overbelast.[1]
GGD IJsselland zei tegen RTV Oost dat minister De Jonge met een oplossing moet komen voor de problemen met coronatesten.[1] 
“Dit kan zo niet langer, de GGD kan dit niet meer aan,” zei een woordvoerder.[2] 
Hoe zit het met de cijfers?[0] 
Gisteren waren er 823 nieuwe positieve testen bij het RIVM gemeld.[5] 
Er liggen in heel Nederland 153 coronapatiënten in het ziekenhuis, van wie 31 op de ic.[5]",2020-11-09,ninefornews,untrusted,2.22
7385,www.trouw.nl/groen/kabinet-gaat-in-cassatie-tegen-urgenda-uitspraak~aedc430c/,Kabinet gaat in cassatie tegen Urgenda-uitspraak,"De staat gaat in cassatie tegen het Urgenda-arrest.[1]
Volgens minister Eric Wiebes van economische zaken en klimaat gaat het om een 'principekwestie'.[1] 
""We willen weten of de rechter op de stoel van de politiek kan gaan zitten.[2]
""Op 9 oktober verplichtte het gerechtshof in Den Haag de staat om de CO2-uitstoot in 2020 met een kwart terug te brengen ten opzichte van peiljaar 1990.[1] 
Daarmee bekrachtigde het Hof een uitspraak van dezelfde strekking door een lagere rechter uit 2015.[1] 
Nu gaat de overheid opnieuw in beroep.[1] 
Voor de uitvoering van het arrest zal dit niet veel uitmaken: de Hoge Raad zal de Urgenda-zaak niet voor 2020 behandelen.[0] 
Wiebes liet eerder al weten dat hij zich aan de door de rechter opgelegde CO2-doelen wil houden.[0]
In de klimaatzaak, aangespannen door milieuorganisatie Urgenda, greep de rechter voor het eerst in op het klimaatbeleid van een overheid.[1] 
Volgens de staat bemoeit de rechter zich op die manier te veel met het beleid.[0] ",2018-11-16,trouw,trusted,1.14
